                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93295,                 4.9259,                0.94204,                0.97415,                      1,                  0.995,                  0.796,                0.73589,                 1.4552,                 1.0226,             0.00053344,             0.00053344,             0.00053344
                      2,                 1.0327,                 4.0761,                0.96448,                0.97116,                      1,                  0.995,                 0.8955,                0.41939,                  1.139,                0.99147,              0.0010621,              0.0010621,              0.0010621
                      3,                 1.0621,                 3.1348,                0.99426,                0.97186,                      1,                  0.995,                  0.796,                0.80583,                 1.3122,                 1.0983,               0.001569,               0.001569,               0.001569
                      4,                 1.0577,                 2.6474,                0.98294,                0.97102,                      1,                  0.995,                  0.796,                0.64497,                0.91506,                 1.0198,               0.001568,               0.001568,               0.001568
                      5,                  1.005,                 2.1227,                0.95729,                0.96912,                      1,                  0.995,                 0.8955,                0.90002,                0.60109,                  1.066,               0.001535,               0.001535,               0.001535
                      6,                 1.0692,                 1.8843,                 1.0082,                0.97128,                      1,                  0.995,                  0.796,                0.87696,                0.55135,                 1.0684,               0.001502,               0.001502,               0.001502
                      7,                 1.0309,                 1.6382,                0.97567,                0.96823,                      1,                  0.995,                  0.796,                0.81515,                0.48624,                 1.0632,               0.001469,               0.001469,               0.001469
                      8,                 1.0535,                 1.4306,                0.98359,                 0.9701,                      1,                  0.995,                 0.6965,                 1.2836,                0.57029,                 1.2375,               0.001436,               0.001436,               0.001436
                      9,                0.97479,                 1.2581,                0.96769,                0.97286,                      1,                  0.995,                  0.796,                0.88466,                0.42044,                 1.0973,              0.0014029,              0.0014029,              0.0014029
                     10,                 0.9784,                 1.1155,                0.95465,                0.97017,                      1,                  0.995,                 0.8955,                0.83171,                0.53962,                 1.0636,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.026,                  1.049,                0.96403,                0.96379,                      1,                  0.995,                  0.796,                0.91328,                0.51878,                 1.0804,              0.0013369,              0.0013369,              0.0013369
                     12,                0.98211,                0.96921,                 0.9462,                0.97242,                      1,                  0.995,                  0.597,                0.99816,                0.66573,                 1.0803,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0041,                 0.9615,                0.97278,                 0.9684,                      1,                  0.995,                  0.796,                 0.7971,                0.49161,                 1.0407,              0.0012709,              0.0012709,              0.0012709
                     14,                0.96041,                0.88557,                0.92558,                0.97253,                      1,                  0.995,                  0.796,                  1.169,                0.49482,                 1.1485,              0.0012379,              0.0012379,              0.0012379
                     15,                0.97739,                0.86675,                0.95212,                0.96923,                      1,                  0.995,                  0.796,                0.98942,                0.41605,                 1.0836,              0.0012049,              0.0012049,              0.0012049
                     16,                 0.9333,                0.80096,                0.93326,                0.97138,                      1,                  0.995,                 0.6965,                 1.1463,                0.40386,                 1.1246,              0.0011719,              0.0011719,              0.0011719
                     17,                0.91256,                0.78373,                0.93651,                0.97187,                      1,                  0.995,                  0.796,                0.74286,                0.41432,                 1.0324,              0.0011389,              0.0011389,              0.0011389
                     18,                0.96054,                0.78361,                0.93309,                      1,                      1,                  0.995,                 0.6965,                0.91374,                0.41342,                 1.0538,              0.0011059,              0.0011059,              0.0011059
                     19,                0.93244,                 0.7279,                0.92239,                      1,                      1,                  0.995,                  0.796,                 1.1527,                0.36931,                  1.111,              0.0010729,              0.0010729,              0.0010729
                     20,                0.92668,                0.72592,                0.95751,                      1,                      1,                  0.995,                  0.796,                 0.7312,                0.38407,                 1.0402,              0.0010399,              0.0010399,              0.0010399
                     21,                0.92709,                0.68181,                0.94103,                      1,                      1,                  0.995,                  0.995,                0.52288,                0.40084,                 1.0009,              0.0010069,              0.0010069,              0.0010069
                     22,                0.87895,                 0.6575,                0.91322,                      1,                      1,                  0.995,                 0.6965,                0.94308,                0.53435,                 1.0628,             0.00097386,             0.00097386,             0.00097386
                     23,                0.91549,                0.64667,                0.92927,                      1,                      1,                  0.995,                  0.796,                0.82443,                0.39493,                 1.0351,             0.00094085,             0.00094085,             0.00094085
                     24,                0.91244,                0.67329,                 0.9111,                0.97326,                      1,                  0.995,                  0.796,                 0.9265,                0.39971,                 1.0756,             0.00090785,             0.00090785,             0.00090785
                     25,                0.86759,                0.64532,                0.91846,                      1,                      1,                  0.995,                  0.796,                0.77284,                0.44494,                 1.0235,             0.00087484,             0.00087484,             0.00087484
                     26,                0.87535,                0.62718,                0.91306,                      1,                      1,                  0.995,                 0.8955,                0.41221,                0.37921,                0.99393,             0.00084184,             0.00084184,             0.00084184
                     27,                0.86162,                0.59879,                 0.9126,                 0.9718,                      1,                  0.995,                  0.796,                0.62417,                0.38398,                 1.0181,             0.00080883,             0.00080883,             0.00080883
                     28,                0.84717,                 0.5977,                0.92087,                      1,                      1,                  0.995,                  0.796,                0.82642,                0.36178,                 1.0463,             0.00077582,             0.00077582,             0.00077582
                     29,                0.85035,                0.58943,                0.91086,                0.97231,                      1,                  0.995,                  0.796,                0.91928,                0.39629,                  1.077,             0.00074282,             0.00074282,             0.00074282
                     30,                0.83711,                0.57428,                0.89359,                      1,                      1,                  0.995,                  0.796,                 1.0872,                0.43994,                 1.0919,             0.00070981,             0.00070981,             0.00070981
                     31,                0.82409,                0.56526,                0.88645,                      1,                      1,                  0.995,                  0.796,                0.82318,                0.36901,                 1.0593,              0.0006768,              0.0006768,              0.0006768
                     32,                0.80252,                0.54819,                0.89015,                      1,                      1,                  0.995,                 0.8955,                0.67617,                0.37233,                 1.0146,              0.0006438,              0.0006438,              0.0006438
                     33,                0.83705,                0.55613,                0.89215,                0.97146,                      1,                  0.995,                 0.8955,                0.78026,                0.39879,                 1.0401,             0.00061079,             0.00061079,             0.00061079
                     34,                0.86601,                 0.5555,                 0.8937,                 0.9714,                      1,                  0.995,                  0.796,                0.61239,                0.41391,                 1.0082,             0.00057778,             0.00057778,             0.00057778
                     35,                0.77618,                0.51781,                0.89626,                      1,                      1,                  0.995,                 0.6965,                0.94968,                 0.4273,                 1.0536,             0.00054478,             0.00054478,             0.00054478
                     36,                0.78017,                0.52792,                0.88121,                      1,                      1,                  0.995,                 0.6965,                0.86796,                0.39824,                  1.067,             0.00051177,             0.00051177,             0.00051177
                     37,                0.77191,                0.49561,                0.87245,                      1,                      1,                  0.995,                  0.796,                0.75071,                0.33964,                 1.0282,             0.00047876,             0.00047876,             0.00047876
                     38,                0.77827,                0.50959,                0.88642,                      1,                      1,                  0.995,                  0.796,                0.73618,                0.32361,                 1.0179,             0.00044576,             0.00044576,             0.00044576
                     39,                0.78701,                0.51591,                0.91504,                      1,                      1,                  0.995,                 0.8955,                0.55497,                0.29721,                 1.0047,             0.00041275,             0.00041275,             0.00041275
                     40,                0.78464,                0.51133,                0.87914,                      1,                      1,                  0.995,                 0.8955,                0.54929,                 0.2563,                 1.0081,             0.00037974,             0.00037974,             0.00037974
                     41,                0.73284,                0.48512,                0.90905,                      1,                      1,                  0.995,                  0.796,                0.78082,                0.29651,                 1.0371,             0.00034674,             0.00034674,             0.00034674
                     42,                0.71284,                0.46695,                0.88187,                      1,                      1,                  0.995,                  0.796,                0.97574,                0.31608,                 1.0839,             0.00031373,             0.00031373,             0.00031373
                     43,                0.71685,                0.46287,                  0.886,                      1,                      1,                  0.995,                  0.796,                0.88785,                 0.4042,                 1.0475,             0.00028072,             0.00028072,             0.00028072
                     44,                0.68019,                  0.454,                0.87649,                      1,                      1,                  0.995,                  0.796,                0.84668,                0.32486,                 1.0551,             0.00024772,             0.00024772,             0.00024772
                     45,                0.70281,                0.45661,                0.88463,                      1,                      1,                  0.995,                 0.8955,                0.76561,                 0.3163,                 1.0239,             0.00021471,             0.00021471,             0.00021471
                     46,                0.67083,                0.44759,                0.89078,                      1,                      1,                  0.995,                  0.796,                0.78735,                0.27942,                 1.0426,              0.0001817,              0.0001817,              0.0001817
                     47,                0.67322,                0.44123,                0.88505,                      1,                      1,                  0.995,                 0.8955,                0.64486,                0.28919,                 1.0136,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.6671,                0.43725,                0.87533,                      1,                      1,                  0.995,                  0.796,                0.75238,                0.29141,                 1.0417,             0.00011569,             0.00011569,             0.00011569
                     49,                0.66614,                0.44294,                0.86642,                      1,                      1,                  0.995,                  0.796,                 0.7334,                0.33705,                 1.0362,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.65566,                0.42521,                0.87696,                      1,                      1,                  0.995,                 0.8955,                 0.6921,                0.32421,                 1.0248,             4.9677e-05,             4.9677e-05,             4.9677e-05
